CMBODY             =                            3
CMBODY_RADIUS      =                     6378.137  KM
GRAPH CBF          =                            F
   JULIAN DATE (day)              X (km)              Y (km)              Z (km)
      2458303.152904        30093919.034      -149085365.627            6548.824
      2458303.252904        30341947.464      -149035289.345            6553.150
      2458303.352904        30589892.619      -148984794.100            6557.333
      2458303.452904        30837753.819      -148933879.990            6561.370
      2458303.552904        31085530.384      -148882547.116            6565.257
      2458303.652904        31333221.632      -148830795.577            6568.990
      2458303.752904        31580826.882      -148778625.474            6572.566
      2458303.852904        31828345.451      -148726036.909            6575.981
      2458303.952904        32075776.655      -148673029.984            6579.232
      2458304.052904        32323119.813      -148619604.802            6582.314
      2458304.152904        32570374.239      -148565761.466            6585.225
      2458304.252904        32817539.248      -148511500.081            6587.961
      2458304.352904        33064614.155      -148456820.752            6590.518
      2458304.452904        33311598.274      -148401723.585            6592.894
      2458304.552904        33558490.917      -148346208.685            6595.085
      2458304.652904        33805291.398      -148290276.161            6597.087
      2458304.752904        34051999.028      -148233926.119            6598.897
      2458304.852904        34298613.118      -148177158.669            6600.513
      2458304.952904        34545132.978      -148119973.921            6601.931
      2458305.052904        34791557.918      -148062371.983            6603.149
      2458305.152904        35037887.247      -148004352.969            6604.162
      2458305.252904        35284120.272      -147945916.988            6604.969
      2458305.352904        35530256.301      -147887064.154            6605.566
      2458305.452904        35776294.641      -147827794.580            6605.950
      2458305.552904        36022234.596      -147768108.382            6606.119
      2458305.652904        36268075.472      -147708005.673            6606.071
      2458305.752904        36513816.572      -147647486.570            6605.802
      2458305.852904        36759457.200      -147586551.189            6605.310
      2458305.952904        37004996.657      -147525199.650            6604.593
      2458306.052904        37250434.245      -147463432.070            6603.648
      2458306.152904        37495769.264      -147401248.570            6602.472
      2458306.252904        37741001.014      -147338649.270            6601.065
      2458306.352904        37986128.793      -147275634.292            6599.424
      2458306.452904        38231151.898      -147212203.759            6597.546
      2458306.552904        38476069.625      -147148357.794            6595.429
      2458306.652904        38720881.271      -147084096.523            6593.073
      2458306.752904        38965586.130      -147019420.072            6590.475
      2458306.852904        39210183.495      -146954328.567            6587.633
      2458306.952904        39454672.659      -146888822.138            6584.547
      2458307.052904        39699052.912      -146822900.913            6581.214
      2458307.152904        39943323.545      -146756565.023            6577.633
      2458307.252904        40187483.848      -146689814.601            6573.803
      2458307.352904        40431533.108      -146622649.779            6569.723
      2458307.452904        40675470.611      -146555070.692            6565.392
      2458307.552904        40919295.645      -146487077.477            6560.810
      2458307.652904        41163007.494      -146418670.270            6555.974
      2458307.752904        41406605.440      -146349849.211            6550.886
      2458307.852904        41650088.767      -146280614.440            6545.544
      2458307.952904        41893456.756      -146210966.097            6539.948
      2458308.052904        42136708.686      -146140904.328            6534.097
      2458308.152904        42379843.837      -146070429.277            6527.993
      2458308.252904        42622861.486      -145999541.091            6521.634
      2458308.352904        42865760.910      -145928239.917            6515.022
      2458308.452904        43108541.383      -145856525.907            6508.156
      2458308.552904        43351202.181      -145784399.211            6501.037
      2458308.652904        43593742.575      -145711859.985            6493.665
      2458308.752904        43836161.838      -145638908.384            6486.042
      2458308.852904        44078459.241      -145565544.564            6478.169
      2458308.952904        44320634.052      -145491768.687            6470.046
      2458309.052904        44562685.541      -145417580.914            6461.675
      2458309.152904        44804612.973      -145342981.409            6453.058
      2458309.252904        45046415.616      -145267970.337            6444.196
      2458309.352904        45288092.735      -145192547.868            6435.091
      2458309.452904        45529643.592      -145116714.172            6425.745
      2458309.552904        45771067.452      -145040469.422            6416.160
      2458309.652904        46012363.575      -144963813.794            6406.338
      2458309.752904        46253531.224      -144886747.465            6396.283
      2458309.852904        46494569.656      -144809270.616            6385.996
      2458309.952904        46735478.133      -144731383.430            6375.481
      2458310.052904        46976255.911      -144653086.092            6364.740
      2458310.152904        47216902.248      -144574378.792            6353.777
      2458310.252904        47457416.401      -144495261.720            6342.595
      2458310.352904        47697797.625      -144415735.070            6331.198
      2458310.452904        47938045.175      -144335799.039            6319.590
      2458310.552904        48178158.306      -144255453.826            6307.774
      2458310.652904        48418136.271      -144174699.635            6295.754
      2458310.752904        48657978.324      -144093536.672            6283.536
      2458310.852904        48897683.717      -144011965.144            6271.122
      2458310.952904        49137251.703      -143929985.264            6258.519
      2458311.052904        49376681.535      -143847597.247            6245.730
      2458311.152904        49615972.464      -143764801.310            6232.760
      2458311.252904        49855123.741      -143681597.677            6219.615
      2458311.352904        50094134.619      -143597986.570            6206.300
      2458311.452904        50333004.348      -143513968.218            6192.820
      2458311.552904        50571732.181      -143429542.851            6179.181
      2458311.652904        50810317.369      -143344710.706            6165.387
      2458311.752904        51048759.165      -143259472.019            6151.446
      2458311.852904        51287056.820      -143173827.031            6137.363
      2458311.952904        51525209.587      -143087775.988            6123.145
      2458312.052904        51763216.720      -143001319.136            6108.796
      2458312.152904        52001077.472      -142914456.728            6094.323
      2458312.252904        52238791.097      -142827189.018            6079.734
      2458312.352904        52476356.851      -142739516.264            6065.034
      2458312.452904        52713773.989      -142651438.727            6050.229
      2458312.552904        52951041.769      -142562956.672            6035.328
      2458312.652904        53188159.447      -142474070.367            6020.335
